System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
CCN_CBFF_CNMeMe_CCHHH_CBFF_CSiHHH,-1236.461622,2.89,4.2,5.15,1.7,2.77,4.06,-0.52
CCN_CNOO_CNHH_CCHHH_CBFF_CSiHHH,-1138.287176,2.98,3.97,4.14,1.68,2.58,3.04,-0.39
CCN_CCN_CNHH_CCHHH_CBFF_CSiHHH,-1026.041047,2.65,4.13,5.12,1.51,2.5,4.42,-0.36
CCN_CCFFF_CNHH_CCHHH_CBFF_CSiHHH,-1270.84806,2.87,4.21,5.33,1.67,2.61,4.65,-0.47
CCN_CCl_CNHH_CCHHH_CBFF_CSiHHH,-1393.396101,2.43,4.19,4.93,1.43,2.44,4.56,-0.43
CCN_CF_CNHH_CCHHH_CBFF_CSiHHH,-1033.030816,2.43,4.26,4.96,1.44,2.42,4.52,-0.46
CCN_CBHH_CNHH_CCHHH_CBFF_CSiHHH,-959.238675,2.82,4.07,4.52,1.6,2.58,3.63,-0.38
CCN_CH_CNHH_CCHHH_CBFF_CSiHHH,-933.800206,2.62,4.23,5.04,1.53,2.49,4.66,-0.45
CCN_CSiHHH_CNHH_CCHHH_CBFF_CSiHHH,-1224.477062,2.61,4.22,5.08,1.55,2.56,4.6,-0.48
CCN_CCHHH_CNHH_CCHHH_CBFF_CSiHHH,-973.105469,2.44,4.23,4.85,1.47,2.47,4.56,-0.5
CCN_CSH_CNHH_CCHHH_CBFF_CSiHHH,-1331.98593,2.49,3.85,4.16,1.47,2.47,3.74,-0.45
CCN_COCHHH_CNHH_CCHHH_CBFF_CSiHHH,-1048.304415,2.36,4.21,4.49,1.4,2.41,4.34,-0.44
CCN_COH_CNHH_CCHHH_CBFF_CSiHHH,-1009.021276,1.98,4.26,4.66,1.11,2.43,4.17,-0.23
CCN_CNHH_CNHH_CCHHH_CBFF_CSiHHH,-989.152647,2.34,4.18,4.24,1.37,2.47,4.02,-0.4
CCN_CNMeMe_CNHH_CCHHH_CBFF_CSiHHH,-1067.736938,2.24,3.11,4.22,1.36,2.45,2.91,-0.48
CCN_COH_CNHH_CNOO_CBFF_CSiHHH,-1174.201228,1.53,3.73,3.78,0.27,2.25,3.09,0.99
CCN_COH_CNHH_CCN_CBFF_CSiHHH,-1061.940378,1.76,4.08,4.76,0.76,2.39,4.07,0.23
CCN_COH_CNHH_CCFFF_CBFF_CSiHHH,-1306.752716,1.88,4.34,4.75,0.92,2.58,4.27,0.04
CCN_COH_CNHH_CCl_CBFF_CSiHHH,-1429.302937,1.95,4.16,4.72,1.06,2.39,4.21,-0.18
CCN_COH_CNHH_CF_CBFF_CSiHHH,-1068.943279,2.04,4.37,4.69,1.14,2.46,4.25,-0.24
CCN_COH_CNHH_CBFF_CBFF_CSiHHH,-1193.788171,1.75,4.1,4.7,0.76,2.43,4.03,0.23
CCN_COH_CNHH_CBHH_CBFF_CSiHHH,-995.145508,1.68,3.92,4.52,0.6,2.37,3.76,0.48
CCN_COH_CNHH_CH_CBFF_CSiHHH,-969.719235,1.94,4.35,4.66,1.04,2.49,4.06,-0.13
CCN_COH_CNHH_CSiHHH_CBFF_CSiHHH,-1260.389575,1.82,4.15,4.65,0.94,2.41,4.02,-0.07
CCN_COH_CNHH_CSH_CBFF_CSiHHH,-1367.893668,2.01,3.79,4.64,1.12,2.28,4.02,-0.23
CCN_COH_CNHH_COCHHH_CBFF_CSiHHH,-1084.222412,2.12,4.12,4.62,1.23,2.33,4.23,-0.34
CCN_COH_CNHH_COH_CBFF_CSiHHH,-1044.940775,2.12,4.13,4.65,1.23,2.26,4.05,-0.34
CCN_COH_CNHH_CNHH_CBFF_CSiHHH,-1025.075406,2.13,3.83,4.47,1.28,2.02,4,-0.43
CCN_COH_CNHH_CNMeMe_CBFF_CSiHHH,-1103.660525,2.2,3.41,4.45,1.28,1.87,3.97,-0.35
CNOO_COH_CNHH_CNOO_CBFF_CSiHHH,-1286.44479,1.48,3.48,3.6,0.65,2.09,2.77,0.18
CCFFF_COH_CNHH_CNOO_CBFF_CSiHHH,-1419.009897,1.57,3.64,3.88,0.21,2.27,3.26,1.14
CCl_COH_CNHH_CNOO_CBFF_CSiHHH,-1541.559234,1.56,3.56,3.68,-0.53,2.13,3.32,2.61
CF_COH_CNHH_CNOO_CBFF_CSiHHH,-1181.195907,1.6,3.69,3.77,-0.6,2.14,3.36,2.81
CBFF_COH_CNHH_CNOO_CBFF_CSiHHH,-1306.046398,1.55,3.59,3.81,0.52,2.28,2.98,0.51
CBHH_COH_CNHH_CNOO_CBFF_CSiHHH,-1107.390096,2.67,3.7,4.11,1.73,2.49,2.62,-0.8
CH_COH_CNHH_CNOO_CBFF_CSiHHH,-1081.96801,1.9,3.75,3.88,0.77,2.31,3.34,0.36
CCHHH_COH_CNHH_CNOO_CBFF_CSiHHH,-1121.278231,1.89,3.71,3.73,0.69,2.23,3.29,0.52
CSH_COH_CNHH_CNOO_CBFF_CSiHHH,-1480.152315,1.54,3.44,3.69,-0.37,2.21,3.23,2.27
COCHHH_COH_CNHH_CNOO_CBFF_CSiHHH,-1196.477287,1.59,3.6,3.77,-0.53,2.11,3.36,2.65
COH_COH_CNHH_CNOO_CBFF_CSiHHH,-1157.195066,1.48,3.27,3.66,-0.88,1.88,3.42,3.24
CNHH_COH_CNHH_CNOO_CBFF_CSiHHH,-1137.328428,1.5,3.63,3.73,-0.6,2.12,3.42,2.7
CSiHHH_COH_CNHH_CNOO_CBFF_CSiHHH,-1372.646316,1.59,3.57,3.8,-0.21,2.22,3.32,2
CNMeMe_COH_CNHH_CNOO_CBFF_CSiHHH,-1215.917535,1.49,3.39,3.73,-0.55,2.16,3.22,2.59
COH_COH_CNHH_CNOO_CNOO_CSiHHH,-1137.592967,1.79,3.66,3.77,0.97,2.22,2.52,-0.15
COH_COH_CNHH_CNOO_CCN_CSiHHH,-1025.344913,1.75,3.78,3.94,0.98,2.22,2.65,-0.2
COH_COH_CNHH_CNOO_CCFFF_CSiHHH,-1270.154558,1.84,3.78,4.01,1.02,2.26,2.65,-0.21
COH_COH_CNHH_CNOO_CCl_CSiHHH,-1392.700316,1.75,3.68,3.98,0.9,2.3,2.65,-0.05
COH_COH_CNHH_CNOO_CF_CSiHHH,-1032.34176,1.83,3.79,4.01,0.87,2.4,2.74,0.09
COH_COH_CNHH_CNOO_CBHH_CSiHHH,-958.570608,1.64,3.21,3.79,-0.67,1.92,2.75,2.98
COH_COH_CNHH_CNOO_CH_CSiHHH,-933.112756,1.74,3.83,3.89,0.9,2.3,2.77,-0.06
COH_COH_CNHH_CNOO_CSiHHH_CSiHHH,-1223.786386,1.66,3.69,3.92,0.71,2.22,2.8,0.23
COH_COH_CNHH_CNOO_CCHHH_CSiHHH,-972.414042,1.69,3.73,3.91,0.63,2.3,2.85,0.43
COH_COH_CNHH_CNOO_CSH_CSiHHH,-1331.291693,1.73,3.5,3.72,0.82,2.26,2.7,0.09
COH_COH_CNHH_CNOO_COCHHH_CSiHHH,-1047.61412,1.75,3.67,3.97,0.6,2.45,2.75,0.55
COH_COH_CNHH_CNOO_COH_CSiHHH,-1008.365484,2.45,3.93,4.01,1.21,2.48,3.46,0.04
COH_COH_CNHH_CNOO_CNHH_CSiHHH,-988.486243,2.62,4.11,4.6,1.34,2.57,3.35,-0.06
COH_COH_CNHH_CNOO_CNMeMe_CSiHHH,-1067.045858,2.48,3.56,3.86,1.66,2.56,2.76,-0.84
COH_COH_CNHH_CNOO_CBFF_CNOO,-1070.999546,2.29,3.83,3.87,1.36,2.39,2.49,-0.44
COH_COH_CNHH_CNOO_CBFF_CCN,-958.753408,1.49,3.26,3.85,-0.86,1.88,3.43,3.22
COH_COH_CNHH_CNOO_CBFF_CCFFF,-1203.563558,1.65,3.86,4.08,0.7,2.35,2.77,0.26
COH_COH_CNHH_CNOO_CBFF_CCl,-1326.113708,1.72,3.64,4.05,0.96,2.12,2.77,-0.2
COH_COH_CNHH_CNOO_CBFF_CF,-965.752515,2.03,3.85,3.97,1.32,2.23,2.69,-0.62
COH_COH_CNHH_CNOO_CBFF_CBFF,-1090.598265,1.54,3.3,3.68,-0.92,2.02,3.37,3.37
COH_COH_CNHH_CNOO_CBFF_CBHH,-891.955693,1.56,3.25,3.56,-0.91,1.94,3.26,3.38
COH_COH_CNHH_CNOO_CBFF_CH,-866.512211,1.88,3.86,3.97,1.08,2.31,2.7,-0.28
COH_COH_CNHH_CNOO_CBFF_CCHHH,-905.824578,1.89,3.77,3.96,1.16,2.22,2.72,-0.44
COH_COH_CNHH_CNOO_CBFF_CSH,-1264.704452,1.92,3.45,3.92,1.31,1.91,2.68,-0.69
COH_COH_CNHH_CNOO_CBFF_COCHHH,-981.02479,2.08,3.62,3.94,1.53,1.96,2.69,-0.99
COH_COH_CNHH_CNOO_CBFF_COH,-941.751015,2.09,3.68,3.95,1.45,2.07,2.71,-0.81
COH_COH_CNHH_CNOO_CBFF_CNHH,-921.887955,2.4,3.67,3.95,1.65,2.23,2.77,-0.91
COH_COH_CNHH_CNOO_CBFF_CNMeMe,-1000.480999,1.92,3.32,4.15,-0.35,2.01,3.53,2.62
COCHHH_CNOO_CBHH_CCFFF_CCFFF_CCl,-1710.271854,3.53,3.85,4.03,2.21,2.26,2.93,-0.89
COCHHH_CCN_CBHH_CCFFF_CCFFF_CCl,-1598.008221,3.14,3.87,4.93,1.9,2.34,4.17,-0.67
COCHHH_CCFFF_CBHH_CCFFF_CCFFF_CCl,-1842.814378,3.62,4.39,5.06,2.41,2.57,4.84,-1.2
COCHHH_CCl_CBHH_CCFFF_CCFFF_CCl,-1965.367055,3.08,3.98,4.93,1.94,2.45,4,-0.79
COCHHH_CF_CBHH_CCFFF_CCFFF_CCl,-1605.009599,3.29,4.18,5.19,2.05,2.65,4.02,-0.8
COCHHH_CBFF_CBHH_CCFFF_CCFFF_CCl,-1729.850036,3.38,4.34,4.94,2.25,2.58,4.31,-1.11
COCHHH_CBHH_CBHH_CCFFF_CCFFF_CCl,-1531.215982,3.16,4.57,4.67,2.22,2.77,4.19,-1.28
COCHHH_CH_CBHH_CCFFF_CCFFF_CCl,-1505.77398,3.41,4.25,5.16,2.21,2.57,4.25,-1.01
COCHHH_CSiHHH_CBHH_CCFFF_CCFFF_CCl,-1796.449045,3.32,4.22,4.66,2.21,2.53,4.25,-1.1
COCHHH_CCHHH_CBHH_CCFFF_CCFFF_CCl,-1545.081688,3.26,4.25,5.2,2.15,2.59,4.07,-1.03
COCHHH_CSH_CBHH_CCFFF_CCFFF_CCl,-1903.957501,2.77,4.13,4.62,1.79,2.51,3.72,-0.8
COCHHH_COCHHH_CBHH_CCFFF_CCFFF_CCl,-1620.286172,3.2,4.4,4.99,2.04,2.88,3.77,-0.88
COCHHH_COH_CBHH_CCFFF_CCFFF_CCl,-1581.007082,2.95,4.58,5.08,1.95,2.85,3.86,-0.96
COCHHH_CNHH_CBHH_CCFFF_CCFFF_CCl,-1561.146827,2.8,4.48,4.69,1.81,2.91,3.48,-0.82
COCHHH_CNMeMe_CBHH_CCFFF_CCFFF_CCl,-1639.710601,3.21,4.46,4.58,2.26,2.52,4.41,-1.31
COCHHH_CCN_CBHH_CNOO_CCFFF_CCl,-1465.445919,3.07,3.71,4,1.98,2.32,2.46,-0.88
COCHHH_CCN_CBHH_CCN_CCFFF_CCl,-1353.202548,3.05,3.81,4.78,1.86,2.24,4.24,-0.67
COCHHH_CCN_CBHH_CCl_CCFFF_CCl,-1720.57632,3.42,3.99,5.08,2.22,2.51,4.29,-1.02
COCHHH_CCN_CBHH_CF_CCFFF_CCl,-1360.22849,3.62,4.24,5.24,2.43,2.66,4.34,-1.24
COCHHH_CCN_CBHH_CBFF_CCFFF_CCl,-1485.044341,3.32,4.01,4.78,2.06,2.46,4.25,-0.8
COCHHH_CCN_CBHH_CBHH_CCFFF_CCl,-1286.409913,3.56,4.07,4.9,2.3,2.72,4.23,-1.04
COCHHH_CCN_CBHH_CH_CCFFF_CCl,-1260.983771,3.43,4.12,5.02,2.2,2.49,4.31,-0.98
COCHHH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1551.646481,3.22,3.78,4.63,1.94,2.43,4.15,-0.66
COCHHH_CCN_CBHH_CCHHH_CCFFF_CCl,-1300.291279,3.46,3.98,5.06,2.21,2.57,4.23,-0.96
COCHHH_CCN_CBHH_CSH_CCFFF_CCl,-1659.167234,3.43,3.81,5.1,2.23,2.64,4.2,-1.02
COCHHH_CCN_CBHH_COCHHH_CCFFF_CCl,-1375.504769,3.59,4.13,5.29,2.43,2.69,4.26,-1.28
COCHHH_CCN_CBHH_COH_CCFFF_CCl,-1336.228356,3.81,4.21,5.33,2.61,2.89,4.29,-1.41
COCHHH_CCN_CBHH_CNHH_CCFFF_CCl,-1316.360294,3.8,4.17,5.18,2.66,2.97,4.2,-1.52
COCHHH_CCN_CBHH_CNMeMe_CCFFF_CCl,-1394.949878,3.64,4.06,4.97,2.58,2.99,4.05,-1.53
CNOO_CCN_CBHH_CSiHHH_CCFFF_CCl,-1641.602435,3.14,4.06,4.3,2.05,2.51,2.84,-0.95
CCN_CCN_CBHH_CSiHHH_CCFFF_CCl,-1529.358782,2.96,3.9,4.08,1.91,2.28,3.77,-0.86
CCFFF_CCN_CBHH_CSiHHH_CCFFF_CCl,-1774.165545,3.01,4.08,4.55,1.94,2.39,4.09,-0.87
CCl_CCN_CBHH_CSiHHH_CCFFF_CCl,-1896.725673,3.13,3.89,4.13,2.03,2.33,3.87,-0.92
CF_CCN_CBHH_CSiHHH_CCFFF_CCl,-1536.368117,3.33,4.27,4.65,2.17,2.48,4.32,-1
CBFF_CCN_CBHH_CSiHHH_CCFFF_CCl,-1661.198861,3.23,4.1,4.35,2.13,2.53,3.83,-1.03
CBHH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1462.564372,3.35,4.07,4.13,2.23,2.49,3.8,-1.11
CH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1437.133518,3.29,4.38,4.55,2.17,2.55,4.26,-1.04
CCHHH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1476.435342,3.23,3.94,4.38,2.09,2.37,3.99,-0.95
CSH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1835.317023,3.01,3.44,4.69,1.76,2.29,4.08,-0.51
COH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1512.364544,3.37,4.02,4.82,2.16,2.51,4.27,-0.96
CNHH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1492.508317,3.31,3.84,5.05,2.1,2.6,4.14,-0.89
CSiHHH_CCN_CBHH_CSiHHH_CCFFF_CCl,-1727.800946,3.12,3.43,4.25,2.04,2.32,3.39,-0.96
CNMeMe_CCN_CBHH_CSiHHH_CCFFF_CCl,-1571.100216,3.18,3.57,4.65,2.22,2.85,3.77,-1.26
CSH_CCN_CBHH_CSiHHH_CCFFF_CNOO,-1580.210091,2.57,3.19,3.74,1.56,1.97,2.61,-0.55
CSH_CCN_CBHH_CSiHHH_CCFFF_CCN,-1467.955923,3.14,3.43,4.65,1.89,2.28,3.91,-0.63
CSH_CCN_CBHH_CSiHHH_CCFFF_CCFFF,-1712.760463,3.31,3.54,4.8,1.97,2.36,4.52,-0.62
CSH_CCN_CBHH_CSiHHH_CCFFF_CF,-1474.958253,3.06,3.5,4.71,1.78,2.29,4.26,-0.51
CSH_CCN_CBHH_CSiHHH_CCFFF_CBFF,-1599.793997,3.19,3.47,4.6,1.96,2.22,4.22,-0.73
CSH_CCN_CBHH_CSiHHH_CCFFF_CBHH,-1401.148729,3.06,3.51,4.57,1.88,2.2,4.22,-0.7
CSH_CCN_CBHH_CSiHHH_CCFFF_CH,-1375.723852,3.17,3.49,4.63,1.97,2.19,4.27,-0.76
CSH_CCN_CBHH_CSiHHH_CCFFF_CSiHHH,-1666.39589,3.09,3.38,4.53,1.88,2.19,4.1,-0.66
CSH_CCN_CBHH_CSiHHH_CCFFF_CCHHH,-1415.030315,3,3.4,4.66,1.79,2.18,4.15,-0.57
CSH_CCN_CBHH_CSiHHH_CCFFF_CSH,-1773.906497,2.73,3.43,4.4,1.53,2.3,3.78,-0.34
CSH_CCN_CBHH_CSiHHH_CCFFF_COCHHH,-1490.230211,2.99,3.45,4.53,1.74,2.26,4.12,-0.5
CSH_CCN_CBHH_CSiHHH_CCFFF_COH,-1450.950418,2.89,3.53,4.72,1.61,2.34,4.16,-0.34
CSH_CCN_CBHH_CSiHHH_CCFFF_CNHH,-1431.08642,2.44,3.46,4.38,1.25,2.3,3.71,-0.05
CSH_CCN_CBHH_CSiHHH_CCFFF_CNMeMe,-1509.662926,3.41,3.64,4.52,2.11,2.39,4.29,-0.8
CNOO_CCHHH_CNOO_CNHH_CNHH_CNOO,-995.624709,2.77,3.75,3.94,1.99,2.53,2.54,-1.21
CNOO_CCHHH_CCN_CNHH_CNHH_CNOO,-883.384482,2.67,3.76,4.06,1.87,2.53,2.56,-1.07
CNOO_CCHHH_CCFFF_CNHH_CNHH_CNOO,-1128.188868,3.3,3.89,4.05,2.37,2.64,2.82,-1.44
CNOO_CCHHH_CCl_CNHH_CNHH_CNOO,-1250.738678,3,3.67,4.01,2.06,2.64,2.82,-1.12
CNOO_CCHHH_CF_CNHH_CNHH_CNOO,-890.381982,2.4,3.79,4,1.5,2.55,2.63,-0.61
CNOO_CCHHH_CBFF_CNHH_CNHH_CNOO,-1015.223652,2.7,3.76,4.1,1.93,2.52,2.58,-1.17
CNOO_CCHHH_CBHH_CNHH_CNHH_CNOO,-816.590442,1.86,3.36,3.75,0.9,2.1,2.54,0.06
CNOO_CCHHH_CH_CNHH_CNHH_CNOO,-791.149307,2.54,3.76,4.07,1.76,2.54,2.58,-0.98
CNOO_CCHHH_CSiHHH_CNHH_CNHH_CNOO,-1081.826795,2.54,3.73,4.08,1.77,2.5,2.58,-1
CNOO_CCHHH_CCHHH_CNHH_CNHH_CNOO,-830.453072,2.84,3.67,3.99,1.95,2.65,2.75,-1.05
CNOO_CCHHH_CSH_CNHH_CNHH_CNOO,-1189.333963,2.02,3.59,3.8,1.09,2.46,2.58,-0.17
CNOO_CCHHH_COCHHH_CNHH_CNHH_CNOO,-905.656546,2.24,3.77,3.92,1.32,2.55,2.6,-0.41
CNOO_CCHHH_COH_CNHH_CNHH_CNOO,-866.370044,2.15,3.79,3.9,1.18,2.61,2.68,-0.2
CNOO_CCHHH_CNHH_CNHH_CNHH_CNOO,-846.518666,2.11,3.68,3.74,0.96,2.54,2.78,0.19
CNOO_CCHHH_CNMeMe_CNHH_CNHH_CNOO,-925.095899,2.04,3.62,3.74,0.87,2.51,2.77,0.31
CNOO_CCHHH_CNMeMe_CNOO_CNHH_CNOO,-1074.207892,1.96,3.47,3.63,0.96,2.45,2.52,0.05
CNOO_CCHHH_CNMeMe_CCN_CNHH_CNOO,-961.971516,2.04,3.69,3.9,1.03,2.54,2.83,-0.02
CNOO_CCHHH_CNMeMe_CCFFF_CNHH_CNOO,-1206.77333,2.08,3.67,3.83,1.04,2.59,2.96,0
CNOO_CCHHH_CNMeMe_CCl_CNHH_CNOO,-1329.323811,2.06,3.63,3.73,0.93,2.5,2.65,0.19
CNOO_CCHHH_CNMeMe_CF_CNHH_CNOO,-968.96601,2.11,3.71,3.79,0.95,2.53,2.6,0.2
CNOO_CCHHH_CNMeMe_CBFF_CNHH_CNOO,-1093.809161,2.05,3.64,3.87,1.02,2.56,2.8,0.01
CNOO_CCHHH_CNMeMe_CBHH_CNHH_CNOO,-895.178352,2.33,3.65,3.73,1.57,2.53,2.6,-0.8
CNOO_CCHHH_CNMeMe_CH_CNHH_CNOO,-869.734787,2.17,3.73,3.79,1.1,2.6,2.67,-0.03
CNOO_CCHHH_CNMeMe_CSiHHH_CNHH_CNOO,-1160.410031,2.08,3.67,3.76,1,2.59,2.86,0.09
CNOO_CCHHH_CNMeMe_CCHHH_CNHH_CNOO,-909.039796,2.14,3.66,3.74,1.06,2.54,2.7,0.01
CNOO_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1267.917446,1.98,3.56,3.66,0.83,2.49,2.76,0.32
CNOO_CCHHH_CNMeMe_COCHHH_CNHH_CNOO,-984.245505,2.12,3.65,3.72,1.07,2.51,2.63,-0.02
CNOO_CCHHH_CNMeMe_COH_CNHH_CNOO,-944.944711,2.71,3.72,3.8,1.96,2.61,2.72,-1.21
CNOO_CCHHH_CNMeMe_CNMeMe_CNHH_CNOO,-1003.685269,2.14,3.65,3.7,1.13,2.54,2.72,-0.12
CCN_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1155.672271,2.16,3.7,4.01,1.11,2.52,3.2,-0.06
CCFFF_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1400.479996,2.26,3.76,4.08,1.25,2.56,3.23,-0.25
CCl_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1523.030452,2.4,3.74,4.08,1.44,2.58,3.23,-0.48
CF_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1162.672748,2.52,3.79,4.11,1.56,2.62,3.22,-0.6
CBFF_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1287.510699,2.11,3.55,3.86,0.96,2.5,3.11,0.18
CBHH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1088.861809,2.45,3.81,4.1,1.54,2.61,3.22,-0.64
CH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1063.436097,2.51,3.79,4.09,1.56,2.61,3.23,-0.62
CCHHH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1102.739481,2.49,3.72,4.06,1.55,2.63,3.22,-0.61
CSH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1461.61937,2.44,3.65,4,1.47,2.6,3.21,-0.51
COCHHH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1177.94149,2.52,3.75,4.07,1.59,2.61,3.19,-0.67
COH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1138.660734,3.1,3.9,4.18,2.11,2.87,3.16,-1.12
CNHH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1118.796343,3.08,3.91,4.15,2.09,2.8,3.2,-1.1
CSiHHH_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1354.108891,2.35,3.7,4.01,1.38,2.57,3.21,-0.42
CNMeMe_CCHHH_CNMeMe_CSH_CNHH_CNOO,-1197.374598,2.77,3.62,4,1.85,2.61,3.11,-0.94
CNOO_CCHHH_CBHH_CBHH_CH_CBFF,-750.872258,2.38,3.41,3.86,1.63,2.21,2.82,-0.87
CCN_CCHHH_CBHH_CBHH_CH_CBFF,-638.623025,2.37,4.04,4.2,1.55,2.28,3.81,-0.73
CCFFF_CCHHH_CBHH_CBHH_CH_CBFF,-883.427786,2.57,4.24,4.47,1.69,2.53,3.86,-0.8
CCl_CCHHH_CBHH_CBHH_CH_CBFF,-1005.983651,3.28,4.44,4.61,2.22,2.78,3.89,-1.16
CF_CCHHH_CBHH_CBHH_CH_CBFF,-645.629483,2.64,4.26,4.44,1.81,2.27,3.85,-0.98
CBFF_CCHHH_CBHH_CBHH_CH_CBFF,-770.454682,2.59,3.87,4.51,1.71,2.49,3.62,-0.83
CBHH_CCHHH_CBHH_CBHH_CH_CBFF,-571.81215,2.69,3.81,4.17,1.84,2.33,3.57,-0.99
CH_CCHHH_CBHH_CBHH_CH_CBFF,-546.386666,2.68,4.17,4.52,1.78,2.48,3.85,-0.88
CCHHH_CCHHH_CBHH_CBHH_CH_CBFF,-585.689063,2.86,4.1,4.35,1.97,2.42,3.79,-1.08
CSH_CCHHH_CBHH_CBHH_CH_CBFF,-944.573252,2.7,3.44,4.55,1.91,1.95,3.72,-1.11
COCHHH_CCHHH_CBHH_CBHH_CH_CBFF,-660.902741,2.6,3.68,4.35,1.82,1.95,3.73,-1.04
COH_CCHHH_CBHH_CBHH_CH_CBFF,-621.616223,2.81,3.87,4.57,2.01,2.08,3.81,-1.22
CNHH_CCHHH_CBHH_CBHH_CH_CBFF,-601.74296,3.38,4.54,4.73,2.28,2.86,3.89,-1.18
CSiHHH_CCHHH_CBHH_CBHH_CH_CBFF,-837.057336,3.13,4.24,4.52,2.12,2.66,3.98,-1.1
CNMeMe_CCHHH_CBHH_CBHH_CH_CBFF,-680.339141,3.35,4.33,4.66,2.26,2.83,3.86,-1.17
COH_CBFF_CBHH_CNOO_CCN_COH,-928.826824,2.63,3.84,3.9,1.61,2.36,2.61,-0.6
COH_CBFF_CBHH_CCN_CCN_COH,-816.574877,3.31,4.05,4.82,1.94,2.41,4.63,-0.57
COH_CBFF_CBHH_CCFFF_CCN_COH,-1061.387606,3.49,4.19,4.83,2.06,2.49,4.65,-0.63
COH_CBFF_CBHH_CCl_CCN_COH,-1183.94755,3.6,4.07,4.63,2.13,2.55,4.48,-0.66
COH_CBFF_CBHH_CF_CCN_COH,-823.601307,3.22,4.12,4.96,2,2.49,4.22,-0.79
COH_CBFF_CBHH_CBFF_CCN_COH,-948.412814,3.63,4.19,4.67,2.14,2.57,4.5,-0.64
COH_CBFF_CBHH_CBHH_CCN_COH,-749.778197,3.24,4.01,4.6,1.97,2.52,4.14,-0.71
COH_CBFF_CBHH_CH_CCN_COH,-724.356028,3.13,4.09,4.93,1.9,2.42,4.19,-0.66
COH_CBFF_CBHH_CSiHHH_CCN_COH,-1015.020409,3.55,4.07,4.65,2.05,2.55,4.51,-0.54
COH_CBFF_CBHH_CCHHH_CCN_COH,-763.665389,3.42,4.27,5.19,2.16,2.76,4.01,-0.91
COH_CBFF_CBHH_CSH_CCN_COH,-1122.540101,3.42,4.02,4.99,2.13,2.74,4.04,-0.84
COH_CBFF_CBHH_COCHHH_CCN_COH,-838.886077,3.29,3.96,5.09,2.07,2.53,4.13,-0.85
COH_CBFF_CBHH_COH_CCN_COH,-799.597146,3.47,4.07,5.12,2.19,2.69,4.17,-0.92
COH_CBFF_CBHH_CNHH_CCN_COH,-779.737513,3.48,4.01,5.07,2.24,2.73,4.1,-1
COH_CBFF_CBHH_CNMeMe_CCN_COH,-858.324934,3.49,4.03,4.94,2.39,2.91,4,-1.3
COH_CBFF_CNOO_CSiHHH_CCN_COH,-1194.079885,3.06,3.82,3.94,2.06,2.57,3.2,-1.06
COH_CBFF_CCN_CSiHHH_CCN_COH,-1081.828163,3.36,4,5.29,1.97,2.46,4.7,-0.58
COH_CBFF_CCFFF_CSiHHH_CCN_COH,-1326.635878,3.36,4.16,5.35,1.97,2.57,4.92,-0.58
COH_CBFF_CCl_CSiHHH_CCN_COH,-1449.190858,3.59,4,5.48,2.07,2.52,4.87,-0.54
COH_CBFF_CF_CSiHHH_CCN_COH,-1088.829871,3.74,4.17,5.51,2.14,2.63,4.98,-0.54
COH_CBFF_CBFF_CSiHHH_CCN_COH,-1213.665506,3.34,4.12,5.31,1.95,2.56,4.78,-0.56
COH_CBFF_CH_CSiHHH_CCN_COH,-989.59577,3.51,4.23,5.45,2.04,2.63,4.97,-0.57
COH_CBFF_CSiHHH_CSiHHH_CCN_COH,-1280.270701,3.38,4.07,5.13,1.96,2.53,4.86,-0.54
COH_CBFF_CCHHH_CSiHHH_CCN_COH,-1028.905251,3.55,4.07,5.44,2.05,2.52,4.91,-0.55
COH_CBFF_CSH_CSiHHH_CCN_COH,-1387.781417,3.62,3.66,5.43,1.94,2.45,4.5,-0.26
COH_CBFF_COCHHH_CSiHHH_CCN_COH,-1104.105159,3.75,3.83,5.43,1.98,2.5,4.74,-0.21
COH_CBFF_COH_CSiHHH_CCN_COH,-1064.823901,3.79,3.98,5.45,2.04,2.62,4.69,-0.29
COH_CBFF_CNHH_CSiHHH_CCN_COH,-1044.963019,3.68,3.95,5.05,1.92,2.66,4.47,-0.16
