System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
CNOO_COH_CNOO_CH_CH_CNHH,-771.710978,2.25,3.79,4.1,1.05,2.67,3.01,0.16
CNOO_COH_CNOO_CSiHHH_CH_CNHH,-1062.389896,2.52,3.6,4.13,1.14,2.66,3.14,0.25
CNOO_COH_CNOO_CCHHH_CH_CNHH,-811.019104,2.25,3.78,3.98,0.99,2.65,3.05,0.27
CNOO_COH_CNOO_CSH_CH_CNHH,-1169.889371,2.2,3.41,3.86,0.92,2.54,3.03,0.35
CNOO_COH_CNOO_COCHHH_CH_CNHH,-886.219284,2.22,3.88,3.92,0.91,2.62,3.01,0.4
CNOO_COH_CNOO_COH_CH_CNHH,-846.926965,2.31,3.81,3.87,0.99,2.63,2.94,0.32
CNOO_COH_CNOO_CNMeMe_CH_CNHH,-905.653963,2.2,3.09,3.88,0.97,2.64,3.03,0.27
CNOO_CNOO_CNOO_CNHH_CH_CNHH,-956.303967,2.4,3.58,3.71,1.22,2.39,2.49,-0.04
CNOO_CCN_CNOO_CNHH_CH_CNHH,-844.063433,2.28,3.57,3.75,1.13,2.31,2.43,0.03
CNOO_CCFFF_CNOO_CNHH_CH_CNHH,-1088.864908,2.81,3.66,3.89,1.51,2.51,2.58,-0.21
CNOO_CCl_CNOO_CNHH_CH_CNHH,-1211.421995,2.35,3.59,3.76,1.23,2.46,2.5,-0.12
CNOO_CF_CNOO_CNHH_CH_CNHH,-851.064329,2.42,3.66,3.84,1.22,2.5,2.6,-0.01
CNOO_CBFF_CNOO_CNHH_CH_CNHH,-975.918937,2.25,3.41,3.87,1.03,2.32,2.63,0.19
CNOO_CBHH_CNOO_CNHH_CH_CNHH,-777.294463,2.57,3.47,3.71,1.39,2.36,2.57,-0.21
CNOO_CH_CNOO_CNHH_CH_CNHH,-751.840379,2.38,3.53,3.83,1.17,2.41,2.61,0.03
CNOO_CSiHHH_CNOO_CNHH_CH_CNHH,-1042.515521,2.34,3.46,3.7,1.16,2.38,2.56,0.02
CNOO_CCHHH_CNOO_CNHH_CH_CNHH,-791.143192,2.35,3.49,3.76,1.19,2.43,2.55,-0.03
CNOO_CSH_CNOO_CNHH_CH_CNHH,-1150.016801,1.99,3.33,3.62,0.8,2.25,2.6,0.4
CNOO_COCHHH_CNOO_CNHH_CH_CNHH,-866.343507,2.4,3.58,3.68,1.26,2.55,2.61,-0.12
CNOO_CNHH_CNOO_CNHH_CH_CNHH,-807.215468,2.24,3.53,3.69,0.76,2.53,2.87,0.72
CNOO_CNMeMe_CNOO_CNHH_CH_CNHH,-885.780824,2.02,3.36,3.49,0.79,2.27,2.64,0.43
CNHH_CCHHH_COCHHH_CCFFF_CF_CNOO,-1082.085479,3.3,3.94,4.35,2.24,2.68,2.74,-1.18
CNHH_CCHHH_COCHHH_CCFFF_CF_CCN,-969.84504,3.15,4.36,4.98,2.05,2.66,4.64,-0.95
CNHH_CCHHH_COCHHH_CCFFF_CF_CCFFF,-1214.654077,3.42,4.57,5.17,2.27,2.82,5.1,-1.13
CNHH_CCHHH_COCHHH_CCFFF_CF_CCl,-1337.200797,3.42,4.5,5.07,2.43,2.57,4.98,-1.45
CNHH_CCHHH_COCHHH_CCFFF_CF_CF,-976.834412,3.45,4.57,4.98,2.44,2.57,4.88,-1.44
CNHH_CCHHH_COCHHH_CCFFF_CF_CBFF,-1101.686184,3.28,4.43,5.08,2.16,2.76,4.52,-1.05
CNHH_CCHHH_COCHHH_CCFFF_CF_CBHH,-903.04299,3.14,4.21,4.91,2.08,2.59,3.92,-1.01
CNHH_CCHHH_COCHHH_CCFFF_CF_CH,-877.605378,3.14,4.56,4.69,2.02,2.77,4.65,-0.9
CNHH_CCHHH_COCHHH_CCFFF_CF_CSiHHH,-1168.283538,3.36,4.51,4.98,2.26,2.75,4.94,-1.17
CNHH_CCHHH_COCHHH_CCFFF_CF_CCHHH,-916.912491,3.38,4.56,4.95,2.39,2.62,4.9,-1.4
CNHH_CCHHH_COCHHH_CCFFF_CF_CSH,-1275.789434,3.29,4.36,4.82,2.35,2.48,4.73,-1.4
CNHH_CCHHH_COCHHH_CCFFF_CF_COCHHH,-992.110609,3.39,4.47,4.87,2.38,2.53,4.78,-1.37
CNHH_CCHHH_COCHHH_CCFFF_CF_COH,-952.823373,3.35,4.5,4.64,2.38,2.49,4.53,-1.4
CNHH_CCHHH_COCHHH_CCFFF_CF_CNHH,-932.957891,3.25,4.49,4.51,2.2,2.59,4.44,-1.16
CNHH_CCHHH_COCHHH_CCFFF_CF_CNMeMe,-1011.546245,3.2,4.34,4.69,2.23,2.51,4.64,-1.27
CNOO_CCHHH_COCHHH_CCFFF_CF_CH,-1026.713789,2.55,3.84,4.42,1.59,2.66,3.06,-0.62
CCN_CCHHH_COCHHH_CCFFF_CF_CH,-914.475098,2.25,4.75,5.37,1.33,2.79,4.84,-0.41
CCFFF_CCHHH_COCHHH_CCFFF_CF_CH,-1159.279597,2.43,4.98,5.42,1.47,2.96,5,-0.52
CCl_CCHHH_COCHHH_CCFFF_CF_CH,-1281.83558,2.67,4.9,5.2,1.69,2.94,5.15,-0.72
CF_CCHHH_COCHHH_CCFFF_CF_CH,-921.477168,2.89,5.2,5.69,1.86,3.07,5.14,-0.83
CBFF_CCHHH_COCHHH_CCFFF_CF_CH,-1046.312729,2.62,5.17,5.26,1.66,3.07,5.19,-0.69
CBHH_CCHHH_COCHHH_CCFFF_CF_CH,-847.667984,2.7,4.16,4.78,1.74,2.97,4.05,-0.78
CH_CCHHH_COCHHH_CCFFF_CF_CH,-822.245305,2.72,5.22,5.68,1.75,3.12,5.18,-0.77
CCHHH_CCHHH_COCHHH_CCFFF_CF_CH,-861.549404,2.83,5.08,5.11,1.83,3.04,5.06,-0.83
CSH_CCHHH_COCHHH_CCFFF_CF_CH,-1220.424472,2.71,4.25,5.01,1.71,2.67,4.82,-0.71
COCHHH_CCHHH_COCHHH_CCFFF_CF_CH,-936.750737,2.84,5.02,5.1,1.83,3,5.05,-0.83
